




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
outer mitochondrial membrane protein complex (GO:0098799)	25	14	3.61	+	3.88	1.51E-06	1.27E-05
azurophil granule (GO:0042582)	154	86	22.21	+	3.87	3.16E-33	1.03E-31
primary lysosome (GO:0005766)	154	86	22.21	+	3.87	3.16E-33	1.01E-31
organellar ribosome (GO:0000313)	86	48	12.40	+	3.87	3.87E-19	7.24E-18
mitochondrial ribosome (GO:0005761)	86	48	12.40	+	3.87	3.87E-19	7.17E-18
postsynaptic endocytic zone (GO:0098843)	9	5	1.30	+	3.85	4.72E-03	1.91E-02
X chromosome (GO:0000805)	9	5	1.30	+	3.85	4.72E-03	1.91E-02
SMN-Sm protein complex (GO:0034719)	18	10	2.60	+	3.85	5.51E-05	3.56E-04
vesicle coat (GO:0030120)	64	35	9.23	+	3.79	5.68E-14	8.88E-13
nucleotide-activated protein kinase complex (GO:0031588)	11	6	1.59	+	3.78	2.15E-03	9.84E-03
CMG complex (GO:0071162)	11	6	1.59	+	3.78	2.15E-03	9.82E-03
MCM complex (GO:0042555)	11	6	1.59	+	3.78	2.15E-03	9.80E-03
endoplasmic reticulum exit site (GO:0070971)	33	18	4.76	+	3.78	8.13E-08	7.97E-07
respiratory chain complex (GO:0098803)	114	62	16.44	+	3.77	1.70E-23	3.78E-22
proton-transporting two-sector ATPase complex, catalytic domain (GO:0033178)	13	7	1.87	+	3.73	9.92E-04	5.04E-03
eukaryotic translation initiation factor 4F complex (GO:0016281)	13	7	1.87	+	3.73	9.92E-04	5.03E-03
nuclear pore nuclear basket (GO:0044615)	13	7	1.87	+	3.73	9.92E-04	5.02E-03
exoribonuclease complex (GO:1905354)	26	14	3.75	+	3.73	2.84E-06	2.30E-05
organellar large ribosomal subunit (GO:0000315)	54	29	7.79	+	3.72	1.49E-11	2.00E-10
mitochondrial large ribosomal subunit (GO:0005762)	54	29	7.79	+	3.72	1.49E-11	1.98E-10
ribonucleoprotein complex (GO:1990904)	689	364	99.37	+	3.66	1.10E-129	1.23E-127
exon-exon junction complex (GO:0035145)	21	11	3.03	+	3.63	4.78E-05	3.16E-04
COPI-coated vesicle (GO:0030137)	25	13	3.61	+	3.61	1.07E-05	7.93E-05
nuclear periphery (GO:0034399)	31	16	4.47	+	3.58	1.16E-06	9.94E-06
mitochondrial protein-containing complex (GO:0098798)	177	91	25.53	+	3.56	2.45E-31	7.16E-30
mitochondrial nucleoid (GO:0042645)	49	25	7.07	+	3.54	1.58E-09	1.78E-08
nucleoid (GO:0009295)	49	25	7.07	+	3.54	1.58E-09	1.77E-08
microbody lumen (GO:0031907)	51	26	7.36	+	3.53	7.62E-10	8.89E-09
peroxisomal matrix (GO:0005782)	51	26	7.36	+	3.53	7.62E-10	8.83E-09
spliceosomal complex (GO:0005681)	208	106	30.00	+	3.53	7.49E-36	2.61E-34
focal adhesion (GO:0005925)	423	215	61.00	+	3.52	1.01E-71	6.00E-70
cell-substrate junction (GO:0030055)	433	217	62.45	+	3.47	6.27E-71	3.61E-69
laminin complex (GO:0043256)	10	5	1.44	+	3.47	8.32E-03	3.19E-02
clathrin coat of endocytic vesicle (GO:0030128)	12	6	1.73	+	3.47	3.78E-03	1.56E-02
AP-2 adaptor complex (GO:0030122)	12	6	1.73	+	3.47	3.78E-03	1.56E-02
sarcoplasmic reticulum lumen (GO:0033018)	10	5	1.44	+	3.47	8.32E-03	3.18E-02
perinuclear theca (GO:0033011)	28	14	4.04	+	3.47	8.86E-06	6.77E-05
