




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (20)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
extrinsic component of postsynaptic specialization membrane (GO:0098892)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
CHOP-C/EBP complex (GO:0036488)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
astrocyte projection (GO:0097449)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic membrane (GO:0098890)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation multienzyme complex (GO:0036125)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
spine apparatus (GO:0097444)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
sorting endosome (GO:0097443)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
CA3 pyramidal cell dendrite (GO:0097442)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
basal dendrite (GO:0097441)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
apical dendrite (GO:0097440)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
late recombination nodule (GO:0005715)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear membrane protein complex (GO:0106083)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
matrix side of mitochondrial inner membrane (GO:0099617)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
recombination nodule (GO:0005713)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
serine-type peptidase complex (GO:1905286)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
chiasma (GO:0005712)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase complex, class III (GO:0035032)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
gamma-catenin-TCF7L2 complex (GO:0071665)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
catenin-TCF7L2 complex (GO:0071664)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
U4/U6 x U5 tri-snRNP complex (GO:0046540)	36	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of presynaptic membrane (GO:0098888)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
RISC-loading complex (GO:0070578)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
hyaluranon cable (GO:0036117)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
intracellular cyclic nucleotide activated cation channel complex (GO:0017071)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor receptor-ligand complex (GO:1990270)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Rpd3L-Expanded complex (GO:0070210)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dense body (GO:0097433)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
spectrin (GO:0008091)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic spindle pole (GO:0097431)	39	0	.04	-	 < 0.01	1.00E00	1.00E00
polytene chromosome (GO:0005700)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
