




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (20)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
SMN-Gemin2 complex (GO:0034718)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pICln-Sm protein complex (GO:0034715)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
serotonin-activated cation-selective channel complex (GO:1904602)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
TRAPP complex (GO:0030008)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic density membrane (GO:0099147)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
Kv4.3-KChIP1 channel complex (GO:0071196)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Kv4.2-KChIP2 channel complex (GO:0071193)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
methylosome (GO:0034709)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
methyltransferase complex (GO:0034708)	109	0	.11	-	 < 0.01	1.00E00	1.00E00
chloride channel complex (GO:0034707)	55	0	.05	-	 < 0.01	1.00E00	1.00E00
sodium channel complex (GO:0034706)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
potassium channel complex (GO:0034705)	101	0	.10	-	 < 0.01	1.00E00	1.00E00
collagen type X trimer (GO:0005599)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen type XVI trimer (GO:0005597)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen type XIV trimer (GO:0005596)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen type XII trimer (GO:0005595)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATPase inhibitor complex (GO:1903503)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen type IX trimer (GO:0005594)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
FACIT collagen trimer (GO:0005593)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type XI trimer (GO:0005592)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen type VIII trimer (GO:0005591)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen type VII trimer (GO:0005590)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rough endoplasmic reticulum lumen (GO:0048237)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
GTPase activator complex (GO:1902773)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
B-WICH complex (GO:0110016)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
BRCA1-BARD1 complex (GO:0031436)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Dbf4-dependent protein kinase complex (GO:0031431)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen type VI trimer (GO:0005589)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen type V trimer (GO:0005588)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial [2Fe-2S] assembly complex (GO:0099128)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen type IV trimer (GO:0005587)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type III trimer (GO:0005586)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein folding chaperone complex (GO:0101031)	43	0	.04	-	 < 0.01	1.00E00	1.00E00
collagen type II trimer (GO:0005585)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen type I trimer (GO:0005584)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
fibrillar collagen trimer (GO:0005583)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen type XV trimer (GO:0005582)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen trimer (GO:0005581)	86	0	.08	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III transcription regulator complex (GO:0090576)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II transcription regulator complex (GO:0090575)	259	0	.25	-	 < 0.01	1.00E00	1.00E00
box H/ACA snoRNP complex (GO:0031429)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
box C/D methylation guide snoRNP complex (GO:0031428)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II transcription repressor complex (GO:0090571)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid elongase complex (GO:0009923)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted monoamine transport vesicle membrane (GO:0070083)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
clathrin-sculpted monoamine transport vesicle (GO:0070081)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear DNA-directed RNA polymerase complex (GO:0055029)	112	0	.11	-	 < 0.01	1.00E00	1.00E00
RecQ family helicase-topoisomerase III complex (GO:0031422)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cortical microtubule (GO:0055028)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
amphisome membrane (GO:1904930)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
membrane attack complex (GO:0005579)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
fibrinogen complex (GO:0005577)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
chromosome, subtelomeric region (GO:0099115)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Noc4p-Nop14p complex (GO:0030692)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
Noc2p-Noc3p complex (GO:0030691)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Noc1p-Noc2p complex (GO:0030690)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CMG complex (GO:0071162)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule cytoskeleton (GO:0015630)	1551	0	1.51	-	 < 0.01	3.96E-01	1.00E00
oxoadipate dehydrogenase complex (GO:0160167)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
NatC complex (GO:0031417)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
NatB complex (GO:0031416)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NatA complex (GO:0031415)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleolar exosome (RNase complex) (GO:0101019)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
N-terminal protein acetyltransferase complex (GO:0031414)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
Noc complex (GO:0030689)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
preribosome, small subunit precursor (GO:0030688)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
preribosome, large subunit precursor (GO:0030687)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
90S preribosome (GO:0030686)	26	0	.03	-	 < 0.01	1.00E00	1.00E00
ERBB3:ERBB2 complex (GO:0038143)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
NF-kappaB complex (GO:0071159)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
preribosome (GO:0030684)	104	0	.10	-	 < 0.01	1.00E00	1.00E00
multimeric ribonuclease P complex (GO:0030681)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
cytochrome complex (GO:0070069)	39	0	.04	-	 < 0.01	1.00E00	1.00E00
branched-chain alpha-ketoacid dehydrogenase complex (GO:0160157)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cytolytic granule membrane (GO:0101004)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
ficolin-1-rich granule membrane (GO:0101003)	61	0	.06	-	 < 0.01	1.00E00	1.00E00
mitochondrial ribonuclease P complex (GO:0030678)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
T-tubule (GO:0030315)	51	0	.05	-	 < 0.01	1.00E00	1.00E00
ribonuclease P complex (GO:0030677)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
junctional membrane complex (GO:0030314)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
axolemma (GO:0030673)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
heteromeric SMAD protein complex (GO:0071144)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle membrane (GO:0030670)	82	0	.08	-	 < 0.01	1.00E00	1.00E00
dendritic filopodium (GO:1902737)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
homomeric SMAD protein complex (GO:0071142)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
SMAD protein complex (GO:0071141)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
complement component C1q complex (GO:0062167)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
tubulin complex (GO:0045298)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CHD-type complex (GO:0090545)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
Flemming body (GO:0090543)	34	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA editing complex (GO:0045293)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
box H/ACA scaRNP complex (GO:0072589)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
box H/ACA RNP complex (GO:0072588)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle membrane (GO:0030663)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
dendrite cytoplasm (GO:0032839)	28	0	.03	-	 < 0.01	1.00E00	1.00E00
plasma membrane bounded cell projection cytoplasm (GO:0032838)	282	0	.27	-	 < 0.01	1.00E00	1.00E00
alpha9-beta1 integrin-ADAM8 complex (GO:0071133)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial ATP-gated potassium channel complex (GO:0062157)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CERF complex (GO:0090537)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
NoRC complex (GO:0090536)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
WICH complex (GO:0090535)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
calcium ion-transporting ATPase complex (GO:0090534)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
catalase complex (GO:0062151)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptobrevin 2-SNAP-25-syntaxin-1a complex (GO:0070044)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoophidium (GO:0097268)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA cap methyltransferase RNMT:RAMAC complex (GO:0160130)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cytolytic granule (GO:0044194)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin receptor complex (GO:0005899)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-13 receptor complex (GO:0005898)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-6 receptor complex (GO:0005896)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-5 receptor complex (GO:0005895)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-2 receptor complex (GO:0005893)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
acetylcholine-gated channel complex (GO:0005892)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
sodium:potassium-exchanging ATPase complex (GO:0005890)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled GABA receptor complex (GO:1902712)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GABA-A receptor complex (GO:1902711)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex IV (GO:0045277)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
GABA receptor complex (GO:1902710)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex III (GO:0045275)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex II (succinate dehydrogenase) (GO:0045273)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex (GO:0070033)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex (GO:0070032)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex I (GO:0045271)	48	0	.05	-	 < 0.01	1.00E00	1.00E00
transcription export complex 2 (GO:0070390)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
R2TP complex (GO:0097255)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
potassium:proton exchanging ATPase complex (GO:0005889)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
endothelial microparticle (GO:0072563)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
blood microparticle (GO:0072562)	144	0	.14	-	 < 0.01	1.00E00	1.00E00
neurofilament (GO:0005883)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
amylin receptor complex 3 (GO:0150058)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
intermediate filament (GO:0005882)	221	0	.21	-	 < 0.01	1.00E00	1.00E00
amylin receptor complex 2 (GO:0150057)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule (GO:0005881)	122	0	.12	-	 < 0.01	1.00E00	1.00E00
amylin receptor complex 1 (GO:0150056)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear microtubule (GO:0005880)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cerebellar climbing fiber to Purkinje cell synapse (GO:0150053)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic Golgi apparatus (GO:0150051)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dopaminergic synapse (GO:0098691)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
glycinergic synapse (GO:0098690)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta ligand-receptor complex (GO:0070021)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
axonemal B tubule inner sheath (GO:0160112)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
axonemal A tubule inner sheath (GO:0160111)	31	0	.03	-	 < 0.01	1.00E00	1.00E00
endosome to plasma membrane transport vesicle (GO:0070381)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
axonemal microtubule doublet inner sheath (GO:0160110)	46	0	.04	-	 < 0.01	1.00E00	1.00E00
NLRP3 inflammasome complex (GO:0072559)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
tubulobulbar complex (GO:0036284)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
NLRP1 inflammasome complex (GO:0072558)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
IPAF inflammasome complex (GO:0072557)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
axonemal microtubule (GO:0005879)	56	0	.05	-	 < 0.01	1.00E00	1.00E00
spindle microtubule (GO:0005876)	83	0	.08	-	 < 0.01	1.00E00	1.00E00
microtubule associated complex (GO:0005875)	157	0	.15	-	 < 0.01	1.00E00	1.00E00
microtubule (GO:0005874)	492	0	.48	-	 < 0.01	1.00E00	1.00E00
cerebellar granule cell to Purkinje cell synapse (GO:0150048)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
plus-end kinesin complex (GO:0005873)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
kinesin complex (GO:0005871)	48	0	.05	-	 < 0.01	1.00E00	1.00E00
neuronal cell body membrane (GO:0032809)	28	0	.03	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle B (GO:0030992)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle A (GO:0030991)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle (GO:0030990)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptic cleft (GO:0043083)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA ligase IV complex (GO:0032807)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
carboxy-terminal domain protein kinase complex (GO:0032806)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase complex (GO:0045259)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
parallel fiber to Purkinje cell synapse (GO:0098688)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
chromosomal region (GO:0098687)	398	0	.39	-	 < 0.01	1.00E00	1.00E00
small ribosomal subunit (GO:0015935)	75	0	.07	-	 < 0.01	1.00E00	1.00E00
hippocampal mossy fiber to CA3 synapse (GO:0098686)	46	0	.04	-	 < 0.01	1.00E00	1.00E00
large ribosomal subunit (GO:0015934)	114	0	.11	-	 < 0.01	1.00E00	1.00E00
Schaffer collateral - CA1 synapse (GO:0098685)	100	0	.10	-	 < 0.01	1.00E00	1.00E00
photoreceptor ribbon synapse (GO:0098684)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
periciliary membrane compartment (GO:1990075)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
cochlear hair cell ribbon synapse (GO:0098683)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase complex (GO:0045254)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
pyruvate dehydrogenase (lipoamide) phosphatase complex (GO:0045253)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
oxoglutarate dehydrogenase complex (GO:0045252)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
TRAPPIII protein complex (GO:1990072)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
electron transfer flavoprotein complex (GO:0045251)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
TRAPPII protein complex (GO:1990071)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
TRAPPI protein complex (GO:1990070)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sperm cytoplasmic droplet (GO:0097598)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
epidermal lamellar body membrane (GO:0097234)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alveolar lamellar body membrane (GO:0097233)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
lamellar body membrane (GO:0097232)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
EMC complex (GO:0072546)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
dynactin complex (GO:0005869)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic dynein complex (GO:0005868)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
Rb-E2F complex (GO:0035189)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
striated muscle thin filament (GO:0005865)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
striated muscle myosin thick filament (GO:0005863)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
muscle thin filament tropomyosin (GO:0005862)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
troponin complex (GO:0005861)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
megasporocyte nucleus (GO:0043076)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide receptor complex (GO:0046696)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
SLIK (SAGA-like) complex (GO:0046695)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
caveola neck (GO:0099400)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic stress granule (GO:0010494)	98	0	.10	-	 < 0.01	1.00E00	1.00E00
cortical microtubule cytoskeleton (GO:0030981)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
germ cell nucleus (GO:0043073)	70	0	.07	-	 < 0.01	1.00E00	1.00E00
VCP-NPL4-UFD1 AAA ATPase complex (GO:0034098)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
intracellular canaliculus (GO:0046691)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-catenin-TCF7L2 complex (GO:0070369)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
extrinsic component of neuronal dense core vesicle membrane (GO:0098674)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase complex (GDP-forming) (GO:0045244)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
signal recognition particle (GO:0048500)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase complex (NAD+) (GO:0045242)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
sperm end piece (GO:0097229)	58	0	.06	-	 < 0.01	1.00E00	1.00E00
RPAP3/R2TP/prefoldin-like complex (GO:1990062)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-ketoacid dehydrogenase complex (GO:0045240)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
sperm principal piece (GO:0097228)	142	0	.14	-	 < 0.01	1.00E00	1.00E00
sperm annulus (GO:0097227)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
sperm mitochondrial sheath (GO:0097226)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm midpiece (GO:0097225)	153	0	.15	-	 < 0.01	1.00E00	1.00E00
interleukin-23 receptor complex (GO:0072536)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
muscle myosin complex (GO:0005859)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
perineuronal net (GO:0072534)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
axonemal dynein complex (GO:0005858)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
nascent polypeptide-associated complex (GO:0005854)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation elongation factor 1 complex (GO:0005853)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex (GO:0005852)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2B complex (GO:0005851)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2 complex (GO:0005850)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
germ plasm (GO:0060293)	28	0	.03	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid cycle heteromeric enzyme complex (GO:0045239)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled serotonin receptor complex (GO:0098666)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
serotonin receptor complex (GO:0098665)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
lateral cell cortex (GO:0097575)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lateral part of cell (GO:0097574)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage factor complex (GO:0005849)	29	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage stimulating factor complex (GO:0005848)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage and polyadenylation specificity factor complex (GO:0005847)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear cap binding complex (GO:0005846)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
clathrin complex (GO:0071439)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase complex (GO:0030964)	48	0	.05	-	 < 0.01	1.00E00	1.00E00
ribosome (GO:0005840)	232	0	.23	-	 < 0.01	1.00E00	1.00E00
apical distal dendrite (GO:0150014)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
LUBAC complex (GO:0071797)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
spindle matrix (GO:1990047)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CENP-A recruiting complex (GO:0098654)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen type VII anchoring fibril (GO:0098652)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
epidermal lamellar body (GO:0097209)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
alveolar lamellar body (GO:0097208)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome core complex (GO:0005839)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle (GO:0005838)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
cell cortex region (GO:0099738)	29	0	.03	-	 < 0.01	1.00E00	1.00E00
heterotrimeric G-protein complex (GO:0005834)	35	0	.03	-	 < 0.01	1.00E00	1.00E00
hemoglobin complex (GO:0005833)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamyl-tRNA(Gln) amidotransferase complex (GO:0030956)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
chaperonin-containing T-complex (GO:0005832)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
enzyme activator complex (GO:0150005)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
distal dendrite (GO:0150002)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
primary dendrite (GO:0150001)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen anchoring fibril (GO:0098648)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen beaded filament (GO:0098647)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network (GO:0071782)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
Ric1-Rgp1 guanyl-nucleotide exchange factor complex (GO:0034066)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interstitial hexagonal collagen network (GO:0098646)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Lewy body corona (GO:1990038)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen network (GO:0098645)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
Lewy body core (GO:1990037)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
complex of collagen trimers (GO:0098644)	27	0	.03	-	 < 0.01	1.00E00	1.00E00
fibrillar collagen (GO:0098643)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
network-forming collagen trimer (GO:0098642)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic membrane (GO:0045211)	320	0	.31	-	 < 0.01	1.00E00	1.00E00
parallel fiber (GO:1990032)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3M complex (GO:1990393)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
FHF complex (GO:0070695)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
pinceau fiber (GO:1990031)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pericellular basket (GO:1990030)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA repair complex (GO:1990391)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
SCF ubiquitin ligase complex (GO:0019005)	64	0	.06	-	 < 0.01	1.00E00	1.00E00
P-TEFb complex (GO:0070691)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
terminal cisterna lumen (GO:0014804)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
longitudinal sarcoplasmic reticulum (GO:0014801)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
kinetochore microtubule (GO:0005828)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
polar microtubule (GO:0005827)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription preinitiation complex (GO:0097550)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
actomyosin contractile ring (GO:0005826)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
exon-exon junction complex (GO:0035145)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
costamere (GO:0043034)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
isoamylase complex (GO:0043033)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell tip (GO:0051286)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic endosome membrane (GO:0098999)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein complex involved in cell-matrix adhesion (GO:0098637)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of postsynaptic early endosome membrane (GO:0098998)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein complex involved in cell-cell adhesion (GO:0098635)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
